# time  created  delivered  delivered/created
19.0000 1 0 0.0000
34.0000 2 0 0.0000
51.0000 3 0 0.0000
51.0000 3 1 0.3333
58.0000 3 2 0.6667
70.0000 4 2 0.5000
87.0000 5 2 0.4000
99.0000 5 3 0.6000
103.0000 6 3 0.5000
110.0000 6 4 0.6667
120.0000 7 4 0.5714
133.0000 7 5 0.7143
136.0000 8 5 0.6250
146.0000 8 6 0.7500
155.0000 9 6 0.6667
173.0000 10 6 0.6000
192.0000 11 6 0.5455
200.0000 11 7 0.6364
208.0000 12 7 0.5833
210.0000 12 8 0.6667
227.0000 13 8 0.6154
229.0000 13 9 0.6923
245.0000 14 9 0.6429
248.0000 14 10 0.7143
261.0000 15 10 0.6667
276.0000 16 10 0.6250
290.0000 16 11 0.6875
293.0000 17 11 0.6471
294.0000 17 12 0.7059
309.0000 18 12 0.6667
328.0000 19 12 0.6316
329.0000 19 13 0.6842
341.0000 19 14 0.7368
346.0000 20 14 0.7000
359.0000 20 15 0.7500
365.0000 21 15 0.7143
380.0000 22 15 0.6818
395.0000 23 15 0.6522
410.0000 24 15 0.6250
416.0000 24 16 0.6667
429.0000 25 16 0.6400
445.0000 26 16 0.6154
461.0000 27 16 0.5926
466.0000 27 17 0.6296
480.0000 28 17 0.6071
497.0000 29 17 0.5862
515.0000 30 17 0.5667
534.0000 31 17 0.5484
553.0000 32 17 0.5313
570.0000 33 17 0.5152
588.0000 34 17 0.5000
604.0000 34 18 0.5294
607.0000 35 18 0.5143
622.0000 36 18 0.5000
638.0000 37 18 0.4865
643.0000 37 19 0.5135
656.0000 38 19 0.5000
671.0000 39 19 0.4872
688.0000 40 19 0.4750
701.0000 40 20 0.5000
707.0000 41 20 0.4878
709.0000 41 21 0.5122
711.0000 41 22 0.5366
714.0000 41 23 0.5610
726.0000 42 23 0.5476
741.0000 43 23 0.5349
745.0000 43 24 0.5581
760.0000 44 24 0.5455
779.0000 45 24 0.5333
798.0000 46 24 0.5217
813.0000 47 24 0.5106
828.0000 48 24 0.5000
846.0000 49 24 0.4898
861.0000 50 24 0.4800
876.0000 51 24 0.4706
895.0000 52 24 0.4615
914.0000 53 24 0.4528
933.0000 54 24 0.4444
952.0000 55 24 0.4364
969.0000 56 24 0.4286
986.0000 57 24 0.4211
987.0000 57 25 0.4386
1004.0000 58 25 0.4310
1022.0000 59 25 0.4237
1038.0000 60 25 0.4167
1057.0000 61 25 0.4098
1076.0000 62 25 0.4032
1095.0000 63 25 0.3968
1111.0000 64 25 0.3906
1126.0000 65 25 0.3846
1143.0000 66 25 0.3788
1160.0000 67 25 0.3731
1179.0000 68 25 0.3676
1196.0000 69 25 0.3623
1198.0000 69 26 0.3768
1214.0000 70 26 0.3714
1228.0000 70 27 0.3857
1232.0000 71 27 0.3803
1234.0000 71 28 0.3944
1247.0000 71 29 0.4085
1250.0000 71 30 0.4225
1251.0000 72 30 0.4167
1260.0000 72 31 0.4306
1268.0000 72 32 0.4444
1270.0000 73 32 0.4384
1277.0000 73 33 0.4521
1279.0000 73 34 0.4658
1287.0000 74 34 0.4595
1305.0000 75 34 0.4533
1321.0000 76 34 0.4474
1328.0000 76 35 0.4605
1336.0000 77 35 0.4545
1337.0000 77 36 0.4675
1352.0000 78 36 0.4615
1368.0000 79 36 0.4557
1386.0000 80 36 0.4500
1387.0000 80 37 0.4625
1401.0000 81 37 0.4568
1406.0000 81 38 0.4691
1420.0000 82 38 0.4634
1438.0000 83 38 0.4578
1440.0000 83 39 0.4699
1447.0000 83 40 0.4819
1453.0000 84 40 0.4762
1463.0000 84 41 0.4881
1468.0000 85 41 0.4824
1484.0000 86 41 0.4767
1485.0000 86 42 0.4884
1490.0000 86 43 0.5000
1502.0000 87 43 0.4943
1517.0000 88 43 0.4886
1523.0000 88 44 0.5000
1536.0000 89 44 0.4944
1540.0000 89 45 0.5056
1552.0000 90 45 0.5000
1570.0000 91 45 0.4945
1573.0000 91 46 0.5055
1574.0000 91 47 0.5165
1575.0000 91 48 0.5275
1586.0000 92 48 0.5217
1588.0000 92 49 0.5326
1590.0000 92 50 0.5435
1601.0000 93 50 0.5376
1617.0000 94 50 0.5319
1626.0000 94 51 0.5426
1634.0000 95 51 0.5368
1649.0000 96 51 0.5313
1668.0000 97 51 0.5258
1684.0000 98 51 0.5204
1691.0000 98 52 0.5306
1703.0000 99 52 0.5253
1718.0000 100 52 0.5200
1735.0000 101 52 0.5149
1750.0000 102 52 0.5098
1765.0000 103 52 0.5049
1767.0000 103 53 0.5146
1772.0000 103 54 0.5243
1783.0000 104 54 0.5192
1802.0000 105 54 0.5143
1813.0000 105 55 0.5238
1818.0000 106 55 0.5189
1833.0000 107 55 0.5140
1848.0000 108 55 0.5093
1863.0000 109 55 0.5046
1881.0000 110 55 0.5000
1895.0000 110 56 0.5091
1900.0000 111 56 0.5045
1918.0000 112 56 0.5000
1937.0000 113 56 0.4956
1945.0000 113 57 0.5044
1954.0000 114 57 0.5000
1966.0000 114 58 0.5088
1970.0000 115 58 0.5043
1976.0000 115 59 0.5130
1989.0000 116 59 0.5086
2008.0000 117 59 0.5043
2020.0000 117 60 0.5128
2024.0000 118 60 0.5085
2043.0000 119 60 0.5042
2053.0000 119 61 0.5126
2061.0000 120 61 0.5083
2063.0000 120 62 0.5167
2076.0000 121 62 0.5124
2078.0000 121 63 0.5207
2095.0000 122 63 0.5164
2108.0000 122 64 0.5246
2108.0000 122 65 0.5328
2111.0000 122 66 0.5410
2112.0000 123 66 0.5366
2117.0000 123 67 0.5447
2131.0000 124 67 0.5403
2143.0000 124 68 0.5484
2148.0000 125 68 0.5440
2157.0000 125 69 0.5520
2163.0000 126 69 0.5476
2179.0000 127 69 0.5433
2194.0000 127 70 0.5512
2194.0000 127 71 0.5591
2195.0000 128 71 0.5547
2213.0000 129 71 0.5504
2217.0000 129 72 0.5581
2232.0000 130 72 0.5538
2234.0000 130 73 0.5615
2239.0000 130 74 0.5692
2248.0000 131 74 0.5649
2259.0000 131 75 0.5725
2263.0000 131 76 0.5802
2264.0000 132 76 0.5758
2280.0000 132 77 0.5833
2281.0000 132 78 0.5909
2283.0000 133 78 0.5865
2283.0000 133 79 0.5940
2298.0000 133 80 0.6015
2302.0000 134 80 0.5970
2321.0000 135 80 0.5926
2331.0000 135 81 0.6000
2336.0000 136 81 0.5956
2352.0000 137 81 0.5912
2367.0000 138 81 0.5870
2384.0000 138 82 0.5942
2385.0000 139 82 0.5899
2386.0000 139 83 0.5971
2404.0000 140 83 0.5929
2418.0000 140 84 0.6000
2418.0000 140 85 0.6071
2419.0000 140 86 0.6143
2421.0000 140 87 0.6214
2421.0000 140 88 0.6286
2423.0000 141 88 0.6241
2438.0000 142 88 0.6197
2456.0000 143 88 0.6154
2472.0000 144 88 0.6111
2483.0000 144 89 0.6181
2489.0000 145 89 0.6138
2507.0000 146 89 0.6096
2508.0000 146 90 0.6164
2523.0000 147 90 0.6122
2525.0000 147 91 0.6190
2538.0000 148 91 0.6149
2545.0000 148 92 0.6216
2557.0000 149 92 0.6174
2561.0000 149 93 0.6242
2575.0000 150 93 0.6200
2581.0000 150 94 0.6267
2591.0000 151 94 0.6225
2592.0000 151 95 0.6291
2606.0000 152 95 0.6250
2618.0000 152 96 0.6316
2623.0000 153 96 0.6275
2624.0000 153 97 0.6340
2640.0000 154 97 0.6299
2655.0000 155 97 0.6258
2671.0000 156 97 0.6218
2689.0000 157 97 0.6178
2706.0000 158 97 0.6139
2711.0000 158 98 0.6203
2725.0000 159 98 0.6164
2727.0000 159 99 0.6226
2741.0000 160 99 0.6188
2747.0000 160 100 0.6250
2757.0000 161 100 0.6211
2772.0000 162 100 0.6173
2787.0000 163 100 0.6135
2802.0000 164 100 0.6098
2804.0000 164 101 0.6159
2817.0000 165 101 0.6121
2835.0000 166 101 0.6084
2836.0000 166 102 0.6145
2837.0000 166 103 0.6205
2853.0000 167 103 0.6168
2868.0000 168 103 0.6131
2881.0000 168 104 0.6190
2886.0000 169 104 0.6154
2902.0000 170 104 0.6118
2902.0000 170 105 0.6176
2916.0000 170 106 0.6235
2917.0000 171 106 0.6199
2933.0000 172 106 0.6163
2952.0000 173 106 0.6127
2968.0000 174 106 0.6092
2984.0000 175 106 0.6057
3000.0000 176 106 0.6023
3004.0000 176 107 0.6080
3015.0000 177 107 0.6045
3031.0000 178 107 0.6011
3032.0000 178 108 0.6067
3050.0000 179 108 0.6034
3055.0000 179 109 0.6089
3065.0000 180 109 0.6056
3080.0000 181 109 0.6022
3097.0000 182 109 0.5989
3116.0000 183 109 0.5956
