# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
185.0000 m5 512000 4 95.0000 v146 p33 598 N v146->v593->p9->p31->p33
206.0000 m8 512000 12 68.0000 v591 p34 598 N v591->p2->p1->p11->p13->p23->p17->p6->p12->p9->p31->p33->p34
597.0000 m25 512000 4 174.0000 v149 p4 597 N v149->p10->p18->p21->p4
608.0000 m19 512000 7 284.0000 v149 p9 595 N v149->p10->p19->p13->p15->p8->p16->p9
1037.0000 m12 512000 3 831.0000 v587 p16 586 N v587->v589->p9->p16
1079.0000 m63 512000 2 3.0000 v144 p3 599 N v144->p21->p3
1145.0000 m60 512000 3 121.0000 v370 p30 597 N v370->p37->p33->p30
1164.0000 m32 512000 5 625.0000 v257 p10 589 N v257->v255->v584->p20->p18->p10
1168.0000 m58 512000 6 181.0000 v371 p21 596 N v371->p6->p17->p13->p19->p18->p21
1182.0000 m67 512000 11 37.0000 v584 p42 599 N v584->p20->p18->p19->p13->p17->p7->p40->p5->p28->p43->p42
1197.0000 m37 512000 4 573.0000 v483 p33 590 N v483->v366->v587->p30->p33
1209.0000 m54 512000 7 290.0000 v588 p16 595 N v588->v366->v152->v587->p30->p31->p9->p16
1260.0000 m13 512000 5 1036.0000 v477 p6 582 N v477->v153->p28->p5->p40->p6
1501.0000 m87 512000 1 1.0000 v586 p22 599 N v586->p22
1509.0000 m73 512000 4 258.0000 v149 p21 595 N v149->v591->p10->p18->p21
1575.0000 m83 512000 2 146.0000 v153 p42 597 N v153->p43->p42
1579.0000 m76 512000 10 280.0000 v369 p40 595 N v369->p26->p27->v482->v591->p10->p19->p13->p15->p8->p40
1618.0000 m39 512000 7 960.0000 v587 p14 584 N v587->p42->p43->p28->p5->p40->p8->p14
1625.0000 m94 512000 2 3.0000 v369 p24 599 N v369->p26->p24
1638.0000 m28 512000 6 1167.0000 v152 p40 580 N v152->v587->p42->p43->p28->p5->p40
1648.0000 m42 512000 8 939.0000 v366 p17 584 N v366->v587->p42->p43->p28->p5->p40->p8->p17
1784.0000 m4 512000 7 1713.0000 v585 p1 571 N v585->p39->p36->v586->p17->p13->p11->p1
1817.0000 m33 512000 2 1262.0000 v364 p34 578 N v364->v593->p34
2137.0000 m124 512000 3 9.0000 v365 p12 599 N v365->p15->p8->p12
2269.0000 m2 512000 3 2233.0000 v479 p8 562 N v479->v590->v586->p8
2272.0000 m114 512000 3 311.0000 v373 p21 594 N v373->v590->p20->p21
2276.0000 m99 512000 3 571.0000 v257 p7 590 N v257->v480->v586->p7
2277.0000 m16 512000 3 2005.0000 v590 p10 566 N v590->p20->p18->p10
2283.0000 m15 512000 4 2026.0000 v263 p12 566 N v263->v590->v586->p7->p12
2301.0000 m20 512000 12 1961.0000 v588 p11 567 N v588->v366->v587->p42->p43->p28->p5->p40->p7->p17->p23->p13->p11
2376.0000 m115 512000 2 397.0000 v588 p33 593 N v588->p32->p33
2400.0000 m140 512000 3 4.0000 v144 p8 599 N v144->p23->p15->p8
2420.0000 m57 512000 5 1452.0000 v370 p9 575 N v370->p37->p33->p30->p31->p9
2425.0000 m102 512000 3 674.0000 v587 p34 588 N v587->v588->p37->p34
2619.0000 m6 512000 6 2513.0000 v151 p42 558 N v151->v590->v586->v153->v591->p43->p42
