# time  created  delivered  delivered/created
19.0000 1 0 0.0000
36.0000 2 0 0.0000
37.0000 2 1 0.5000
54.0000 3 1 0.3333
55.0000 3 2 0.6667
71.0000 4 2 0.5000
84.0000 4 3 0.7500
90.0000 5 3 0.6000
106.0000 6 3 0.5000
118.0000 6 4 0.6667
122.0000 7 4 0.5714
138.0000 8 4 0.5000
142.0000 8 5 0.6250
155.0000 9 5 0.5556
155.0000 9 6 0.6667
157.0000 9 7 0.7778
170.0000 10 7 0.7000
188.0000 11 7 0.6364
206.0000 12 7 0.5833
224.0000 13 7 0.5385
242.0000 14 7 0.5000
257.0000 15 7 0.4667
272.0000 16 7 0.4375
288.0000 16 8 0.5000
291.0000 17 8 0.4706
296.0000 17 9 0.5294
308.0000 18 9 0.5000
315.0000 18 10 0.5556
324.0000 19 10 0.5263
340.0000 20 10 0.5000
341.0000 20 11 0.5500
355.0000 21 11 0.5238
370.0000 22 11 0.5000
388.0000 23 11 0.4783
395.0000 23 12 0.5217
402.0000 23 13 0.5652
404.0000 24 13 0.5417
416.0000 24 14 0.5833
423.0000 25 14 0.5600
424.0000 25 15 0.6000
439.0000 26 15 0.5769
455.0000 27 15 0.5556
471.0000 28 15 0.5357
472.0000 28 16 0.5714
486.0000 29 16 0.5517
501.0000 30 16 0.5333
520.0000 31 16 0.5161
535.0000 32 16 0.5000
543.0000 32 17 0.5313
554.0000 33 17 0.5152
571.0000 34 17 0.5000
588.0000 35 17 0.4857
606.0000 36 17 0.4722
606.0000 36 18 0.5000
625.0000 37 18 0.4865
642.0000 38 18 0.4737
660.0000 39 18 0.4615
678.0000 40 18 0.4500
697.0000 41 18 0.4390
715.0000 42 18 0.4286
731.0000 43 18 0.4186
746.0000 44 18 0.4091
747.0000 44 19 0.4318
760.0000 44 20 0.4545
764.0000 45 20 0.4444
765.0000 45 21 0.4667
768.0000 45 22 0.4889
774.0000 45 23 0.5111
783.0000 46 23 0.5000
786.0000 46 24 0.5217
799.0000 47 24 0.5106
814.0000 48 24 0.5000
822.0000 48 25 0.5208
830.0000 49 25 0.5102
845.0000 50 25 0.5000
857.0000 50 26 0.5200
863.0000 51 26 0.5098
882.0000 52 26 0.5000
899.0000 53 26 0.4906
914.0000 54 26 0.4815
932.0000 55 26 0.4727
933.0000 55 27 0.4909
948.0000 56 27 0.4821
951.0000 56 28 0.5000
963.0000 57 28 0.4912
966.0000 57 29 0.5088
980.0000 58 29 0.5000
983.0000 58 30 0.5172
996.0000 59 30 0.5085
1015.0000 60 30 0.5000
1034.0000 61 30 0.4918
1049.0000 62 30 0.4839
1068.0000 63 30 0.4762
1085.0000 63 31 0.4921
1087.0000 64 31 0.4844
1105.0000 65 31 0.4769
1116.0000 65 32 0.4923
1123.0000 66 32 0.4848
1138.0000 67 32 0.4776
1155.0000 68 32 0.4706
1174.0000 69 32 0.4638
1175.0000 69 33 0.4783
1190.0000 70 33 0.4714
1207.0000 71 33 0.4648
1223.0000 72 33 0.4583
1242.0000 73 33 0.4521
1257.0000 73 34 0.4658
1259.0000 74 34 0.4595
1270.0000 74 35 0.4730
