# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
40.0000 m1 512000 14 21.0000 p70 p2 599 N p70->p38->p39->p36->p66->p67->p22->p72->p12->p6->p14->p23->p13->p86->p2
57.0000 m2 512000 12 21.0000 p57 p27 599 N p57->p83->p56->p55->p54->p22->p72->p12->p7->p17->p13->p86->p27
83.0000 m4 512000 9 12.0000 p63 p43 599 N p63->p35->p66->p67->p22->p72->p16->p9->p87->p43
120.0000 m6 512000 7 14.0000 p29 p27 599 N p29->p9->p16->p7->p17->p13->p86->p27
139.0000 m7 512000 11 17.0000 p67 p50 599 N p67->p22->p73->p52->p7->p14->p13->p19->p18->p20->p44->p50
153.0000 m8 512000 9 15.0000 p69 p13 599 N p69->p63->p66->p67->p22->p72->p12->p8->p15->p13
160.0000 m9 512000 4 5.0000 p37 p68 599 N p37->p53->p34->p66->p68
163.0000 m5 512000 8 73.0000 p24 p5 598 N p24->p2->p86->p13->p15->p8->p6->p51->p5
175.0000 m3 512000 9 121.0000 p27 p42 597 N p27->p86->p13->p23->p15->p8->p12->p9->p87->p42
177.0000 m10 512000 5 7.0000 p23 p5 599 N p23->p15->p8->p6->p51->p5
204.0000 m11 512000 7 16.0000 p52 p24 599 N p52->p8->p15->p23->p13->p86->p27->p24
296.0000 m17 512000 2 5.0000 p43 p40 599 N p43->p51->p40
318.0000 m18 512000 4 10.0000 p70 p56 599 N p70->p38->p85->p78->p56
341.0000 m20 512000 1 1.0000 p66 p35 599 N p66->p35
354.0000 m19 512000 16 30.0000 p27 p57 599 N p27->p86->p13->p15->p8->p6->p12->p9->p31->p33->p53->p62->p35->p39->p77->p83->p57
403.0000 m23 512000 7 15.0000 p63 p29 599 N p63->p62->p53->p33->p30->p31->p9->p29
424.0000 m25 512000 1 1.0000 p27 p26 599 N p27->p26
471.0000 m27 512000 7 16.0000 p35 p43 599 N p35->p62->p53->p33->p31->p9->p87->p43
492.0000 m28 512000 10 21.0000 p30 p44 599 N p30->p31->p9->p12->p8->p15->p13->p19->p18->p21->p44
512.0000 m30 512000 5 11.0000 p27 p51 599 N p27->p86->p13->p15->p8->p51
542.0000 m32 512000 4 7.0000 p31 p51 599 N p31->p9->p12->p6->p51
591.0000 m35 512000 2 3.0000 p40 p14 599 N p40->p7->p14
604.0000 m21 512000 7 249.0000 p43 p35 595 N p43->p87->p9->p12->p72->p64->p65->p35
622.0000 m13 512000 4 398.0000 p55 p44 593 N p55->p58->p47->v1107->p44
675.0000 m16 512000 7 403.0000 p68 p33 593 N p68->p67->p64->p72->p16->p9->p31->p33
707.0000 m41 512000 5 10.0000 p44 p23 599 N p44->p21->p18->p19->p13->p23
771.0000 m45 512000 5 7.0000 p29 p65 599 N p29->p9->p31->p33->p53->p65
800.0000 m47 512000 1 1.0000 p66 p22 599 N p66->p22
823.0000 m48 512000 3 9.0000 p38 p37 599 N p38->p35->p65->p37
910.0000 m15 512000 6 653.0000 p41 p57 589 N p41->v5142->p71->p69->p85->p78->p57
933.0000 m55 512000 1 1.0000 p45 p44 599 N p45->p44
937.0000 m46 512000 2 154.0000 p56 p66 597 N p56->p68->p66
951.0000 m56 512000 2 3.0000 p48 p60 599 N p48->p47->p60
982.0000 m58 512000 2 2.0000 p71 p38 599 N p71->p70->p38
1001.0000 m36 512000 8 395.0000 p45 p28 593 N p45->p44->v5141->p16->p12->p9->p87->p43->p28
1057.0000 m37 512000 9 432.0000 p44 p39 592 N p44->v5141->p16->p9->p31->p33->p53->p62->p38->p39
1097.0000 m64 512000 5 10.0000 p24 p18 599 N p24->p27->p1->p11->p19->p18
1232.0000 m72 512000 5 9.0000 p30 p40 599 N p30->p31->p9->p12->p6->p40
1246.0000 m73 512000 2 4.0000 p68 p62 599 N p68->p66->p62
1298.0000 m76 512000 4 5.0000 p27 p17 599 N p27->p1->p11->p13->p17
1385.0000 m62 512000 7 336.0000 p52 p68 594 N p52->p72->p16->p9->p31->v5141->p66->p68
1403.0000 m65 512000 8 298.0000 p70 p61 595 N p70->p38->p75->p76->p77->p83->p56->p58->p61
1435.0000 m24 512000 2 1031.0000 p54 p53 582 N p54->p65->p53
1531.0000 m70 512000 8 341.0000 p61 p22 594 N p61->p59->p46->v195->v5146->v5141->v3124->p67->p22
1544.0000 m74 512000 9 285.0000 p59 p35 595 N p59->p61->p46->v195->v5146->v5141->v3124->p67->p66->p35
1557.0000 m29 512000 4 1071.0000 p57 p33 582 N p57->p55->p66->p34->p33
1563.0000 m14 512000 4 1321.0000 p66 p12 577 N p66->p67->p22->p73->p12
1570.0000 m83 512000 6 162.0000 p54 p42 597 N p54->p22->p72->p16->p9->p87->p42
1577.0000 m79 512000 12 236.0000 p46 p15 596 N p46->p61->p60->p47->v5146->v5141->v3124->p67->p22->p73->p12->p8->p15
1590.0000 m93 512000 2 14.0000 p22 p53 599 N p22->p65->p53
1595.0000 m94 512000 1 1.0000 p47 p49 599 N p47->p49
1651.0000 m12 512000 2 1445.0000 p65 p33 575 N p65->p53->p33
1678.0000 m99 512000 1 1.0000 p35 p65 599 N p35->p65
1687.0000 m40 512000 6 1009.0000 p57 p9 583 N p57->p55->p67->p64->v5141->p16->p9
1694.0000 m67 512000 9 556.0000 p46 p70 590 N p46->v195->v5146->v5141->v3124->p67->p66->p62->p38->p70
1734.0000 m96 512000 1 105.0000 p38 p35 598 N p38->p35
1740.0000 m102 512000 1 17.0000 p65 p68 599 N p65->p68
1747.0000 m26 512000 3 1308.0000 p65 p60 578 N p65->p68->p58->p60
1750.0000 m61 512000 3 716.0000 p31 p13 588 N p31->v5141->p17->p13
1757.0000 m43 512000 5 1026.0000 p36 p13 582 N p36->p35->v2109->v5141->p17->p13
1758.0000 m75 512000 11 482.0000 p38 p6 591 N p38->p75->p76->p82->p78->p57->p55->p67->p64->v5141->p17->p6
1791.0000 m31 512000 9 1271.0000 p68 p1 578 N p68->p67->p64->p72->p12->v3125->v3121->v5139->p27->p1
1798.0000 m22 512000 16 1428.0000 p49 p21 576 N p49->p47->p58->p55->p67->p22->p72->p12->v3125->v3121->v5139->p27->p1->p11->p19->p18->p21
1887.0000 m111 512000 3 7.0000 p57 p35 599 N p57->p68->p66->p35
1934.0000 m114 512000 1 1.0000 p57 p56 599 N p57->p56
1948.0000 m82 512000 9 555.0000 p61 p42 590 N p61->p59->v5146->v5141->p22->p73->p52->p9->p87->p42
1952.0000 m115 512000 2 4.0000 p70 p36 599 N p70->p38->p36
2067.0000 m122 512000 1 1.0000 p36 p62 599 N p36->p62
2248.0000 m66 512000 15 1125.0000 p27 p54 581 N p27->p1->p11->p19->p18->p21->p44->v2116->p46->p60->v5143->v190->v199->p56->p68->p54
2325.0000 m125 512000 3 209.0000 p64 p9 596 N p64->p73->p12->p9
2339.0000 m138 512000 1 3.0000 p65 p37 599 N p65->p37
2355.0000 m139 512000 1 3.0000 p68 p67 599 N p68->p67
2400.0000 m142 512000 1 1.0000 p62 p65 599 N p62->p65
2416.0000 m107 512000 7 604.0000 p57 p31 589 N p57->p55->p54->p64->p73->p52->p9->p31
2429.0000 m123 512000 9 344.0000 p47 p35 594 N p47->p59->v195->v5143->p58->p57->p78->p77->p39->p35
2504.0000 m140 512000 6 136.0000 p53 p60 597 N p53->p62->p66->p67->p68->p58->p60
2578.0000 m109 512000 10 733.0000 p71 p47 587 N p71->p70->v5146->p75->p76->p82->p83->p78->p57->p58->p47
2628.0000 m87 512000 9 1156.0000 p71 p46 580 N p71->p70->v5146->p75->p76->p77->p78->p56->p58->p46
2644.0000 m156 512000 1 1.0000 p67 p55 599 N p67->p55
2648.0000 m77 512000 5 1337.0000 p51 p67 577 N p51->v5139->p16->p73->p64->p67
2657.0000 m52 512000 5 1775.0000 p28 p64 570 N p28->p5->v5139->p16->p73->p64
2679.0000 m78 512000 7 1353.0000 p30 p5 577 N p30->p33->p31->p9->p87->p43->p51->p5
2692.0000 m158 512000 3 13.0000 p56 p39 599 N p56->p83->p82->p39
2720.0000 m68 512000 4 1565.0000 p53 p16 573 N p53->v4132->p31->p9->p16
2737.0000 m161 512000 2 8.0000 p63 p68 599 N p63->p66->p68
2744.0000 m128 512000 12 575.0000 p71 p49 590 N p71->p70->v5146->p75->p76->p82->p83->p78->v5138->v3124->p59->p47->p49
2775.0000 m88 512000 12 1286.0000 p46 p23 578 N p46->p60->p47->p48->v5146->p55->p67->p22->p73->p52->p7->p14->p23
2789.0000 m127 512000 7 636.0000 p27 p45 589 N p27->p1->p11->p19->p18->p20->p3->p45
2789.0000 m144 512000 1 355.0000 p44 p50 594 N p44->p50
2798.0000 m44 512000 6 2052.0000 p23 p54 565 N p23->p14->p7->p16->p73->p22->p54
2812.0000 m112 512000 5 913.0000 p43 p2 584 N p43->p28->p5->v5140->p25->p2
2835.0000 m160 512000 3 123.0000 p53 p16 597 N p53->v5145->p72->p16
2842.0000 m60 512000 9 1827.0000 p35 p11 569 N p35->p63->p36->p62->v2109->v5141->v1100->p15->p13->p11
2878.0000 m124 512000 6 778.0000 p31 p15 587 N p31->v4132->v5147->p52->p12->p8->p15
2895.0000 m104 512000 3 1138.0000 p28 p53 581 N p28->p5->v5139->p53
2896.0000 m141 512000 7 512.0000 p61 p12 591 N p61->p58->p57->v190->v5145->v198->p72->p12
2908.0000 m91 512000 4 1368.0000 p24 p33 577 N p24->p27->v5139->p53->p33
2914.0000 m172 512000 1 3.0000 p65 p66 599 N p65->p66
2930.0000 m143 512000 9 514.0000 p67 p23 591 N p67->p66->p62->p53->v4132->v5147->p16->p8->p15->p23
2939.0000 m157 512000 4 279.0000 p58 p39 595 N p58->p57->p83->p77->p39
2952.0000 m164 512000 4 174.0000 p61 p22 597 N p61->p58->p68->p67->p22
2955.0000 m120 512000 7 922.0000 p29 p63 584 N p29->p9->p52->v1103->v5139->p53->p65->p63
2964.0000 m163 512000 3 201.0000 p49 p46 596 N p49->p47->p59->p46
3007.0000 m169 512000 6 146.0000 p24 p21 597 N p24->p2->p1->p11->p19->p18->p21
3018.0000 m162 512000 4 270.0000 p29 p8 595 N p29->p87->p43->p51->p8
3034.0000 m133 512000 10 781.0000 p43 p21 586 N p43->p28->p5->v5140->p25->p2->p1->p11->p19->p18->p21
3038.0000 m179 512000 6 10.0000 p56 p62 599 N p56->p83->p77->p76->p75->p38->p62
3092.0000 m167 512000 3 266.0000 p22 p58 595 N p22->p67->p68->p58
3112.0000 m33 512000 9 2558.0000 p58 p51 557 N p58->p57->p83->p56->v5145->v198->p72->p16->p7->p51
3113.0000 m147 512000 12 624.0000 p56 p28 589 N p56->p78->p57->v190->v5138->v5145->v198->p72->p16->p7->p6->p51->p28
3137.0000 m130 512000 10 931.0000 p43 p53 584 N p43->p28->p5->p40->p7->p12->p52->p72->p22->p65->p53
3140.0000 m135 512000 10 854.0000 p43 p35 585 N p43->p28->p5->p40->p7->p12->p16->p72->p22->p66->p35
3148.0000 m92 512000 13 1589.0000 p71 p7 573 N p71->p70->v5146->p75->p76->p77->p83->p57->p68->p67->p22->p73->p16->p7
3150.0000 m176 512000 5 176.0000 p69 p60 597 N p69->p85->p78->p56->p58->p60
3155.0000 m186 512000 3 6.0000 p33 p67 599 N p33->p53->p65->p67
3170.0000 m152 512000 9 597.0000 p61 p8 590 N p61->v5138->v5143->p56->p68->p67->p22->p72->p12->p8
3185.0000 m136 512000 5 880.0000 p59 p20 585 N p59->p58->p57->v5145->v5138->p20
3209.0000 m71 512000 11 2002.0000 p30 p21 566 N p30->p31->p9->p16->p72->p22->p67->p66->p63->v5138->p20->p21
3210.0000 m86 512000 12 1754.0000 p32 p44 570 N p32->p30->p31->p9->p12->p72->p22->p67->p66->p62->v5138->p20->p44
3229.0000 m57 512000 3 2266.0000 p37 p36 562 N p37->p53->p65->p36
3235.0000 m181 512000 4 174.0000 p37 p9 597 N p37->p33->p30->p31->p9
3239.0000 m89 512000 5 1733.0000 p47 p10 571 N p47->v195->v5138->p20->p18->p10
3242.0000 m50 512000 5 2397.0000 p65 p45 560 N p65->p36->v5138->p20->p44->p45
3260.0000 m53 512000 2 2361.0000 p34 p36 560 N p34->p66->p36
3263.0000 m137 512000 5 943.0000 p38 p30 584 N p38->v5146->p34->p53->p33->p30
3281.0000 m49 512000 12 2451.0000 p57 p11 559 N p57->p55->p67->p64->p73->p52->p7->p51->p43->v4133->v3121->v5141->p11
3282.0000 m98 512000 18 1621.0000 p47 p11 572 N p47->p60->v5143->v190->v199->p56->p68->p67->p66->p35->p62->p53->v4132->v5147->p52->p7->p51->v5141->p11
3293.0000 m38 512000 4 2651.0000 p54 p10 555 N p54->p67->v5141->p11->p10
3316.0000 m129 512000 16 1128.0000 p36 p24 581 N p36->p63->p62->p53->v4132->v5147->p52->p7->p51->p43->v4133->v3121->v5141->p11->p1->p2->p24
3321.0000 m39 512000 13 2661.0000 p69 p10 555 N p69->p75->p39->p35->v2109->v5141->v5146->p48->p49->p47->v1101->p21->p18->p10
3328.0000 m95 512000 8 1715.0000 p31 p24 571 N p31->p30->v192->v5147->v1106->v197->v3122->p27->p24
3329.0000 m59 512000 14 2333.0000 p61 p24 561 N p61->p59->p46->v195->v5146->v5141->v3124->p67->p22->p73->p12->v197->v3122->p27->p24
3340.0000 m90 512000 6 1815.0000 p51 p39 569 N p51->v5139->v198->v5145->v5146->p69->p39
3343.0000 m193 512000 9 72.0000 p49 p36 598 N p49->p47->p58->p57->p83->p77->p76->p74->p38->p36
3357.0000 m103 512000 9 1618.0000 p58 p51 573 N p58->p57->p83->p56->v5145->v198->v5147->p16->p7->p51
3375.0000 m34 512000 18 2804.0000 p23 p49 553 N p23->p14->p7->p16->v5139->p53->p33->p30->v5145->v5146->p69->p74->p76->p77->p83->p56->p58->p47->p49
3419.0000 m194 512000 1 130.0000 p22 p54 597 N p22->p54
3421.0000 m149 512000 2 898.0000 p27 p11 585 N p27->p1->p11
3428.0000 m42 512000 12 2713.0000 p51 p61 554 N p51->v5139->v198->v5145->v5146->p69->p74->p76->p77->p78->p57->p58->p61
3429.0000 m131 512000 3 1207.0000 p54 p36 579 N p54->p67->p66->p36
3463.0000 m105 512000 17 1688.0000 p68 p10 571 N p68->p54->v5146->v3119->v4132->v5147->p52->p7->p51->p43->v4133->v3121->v5141->v3122->v5140->p1->p11->p10
3530.0000 m151 512000 8 972.0000 p39 p60 583 N p39->p77->p83->v5143->v190->p57->p56->p58->p60
3531.0000 m177 512000 3 539.0000 p32 p65 591 N p32->p33->p53->p65
3531.0000 m192 512000 3 278.0000 p33 p12 595 N p33->p31->p9->p12
3543.0000 m200 512000 9 153.0000 p37 p60 597 N p37->p62->p69->p75->p76->p77->p83->p57->p58->p60
3579.0000 m153 512000 6 988.0000 p69 p9 583 N p69->p62->p53->p33->p30->p31->p9
3580.0000 m184 512000 6 468.0000 p63 p9 592 N p63->p62->p37->p33->p30->p31->p9
3589.0000 m189 512000 4 388.0000 p56 p3 593 N p56->p58->p47->v5138->p3
3590.0000 m155 512000 6 964.0000 p51 p68 583 N p51->p8->v1103->v5147->v198->p54->p68
3593.0000 m100 512000 5 1900.0000 p28 p55 568 N p28->p5->v5139->v198->p54->p55
3614.0000 m198 512000 7 256.0000 p56 p50 595 N p56->p58->p46->v3124->v5138->v188->p45->p50
3642.0000 m116 512000 3 1678.0000 p43 p44 572 N p43->v5141->p20->p44
3643.0000 m134 512000 4 1372.0000 p29 p44 577 N p29->p9->v5141->p20->p44
3654.0000 m145 512000 9 1201.0000 p42 p22 579 N p42->p87->p29->v196->v192->p31->p33->p53->p65->p22
3655.0000 m175 512000 10 697.0000 p28 p68 588 N p28->p43->p87->p29->v196->v192->p31->p33->p53->p65->p68
3663.0000 m166 512000 6 852.0000 p40 p4 585 N p40->p7->p14->v5141->p20->p44->p4
3667.0000 m117 512000 12 1687.0000 p38 p4 571 N p38->p75->p76->p77->p83->p57->p58->p61->p60->v2109->v5138->p3->p4
3684.0000 m217 512000 3 5.0000 p42 p5 599 N p42->p43->p28->p5
3696.0000 m201 512000 3 290.0000 p42 p12 595 N p42->p87->p9->p12
3711.0000 m203 512000 3 272.0000 p56 p49 595 N p56->p58->p47->p49
3731.0000 m212 512000 8 135.0000 p46 p34 597 N p46->p58->p57->p83->p77->p39->p36->p62->p34
3763.0000 m185 512000 3 633.0000 p23 p40 589 N p23->p17->p6->p40
3784.0000 m97 512000 8 2140.0000 p43 p60 564 N p43->p28->v3121->v5141->v1101->v5138->v3124->p47->p60
3828.0000 m165 512000 3 1034.0000 p54 p16 582 N p54->p22->p72->p16
3839.0000 m54 512000 6 2925.0000 p51 p44 551 N p51->p5->p28->v3121->v5141->p20->p44
3840.0000 m132 512000 10 1602.0000 p68 p3 573 N p68->p67->p22->p72->p16->p8->p15->v197->v5141->p20->p3
3847.0000 m224 512000 9 52.0000 p59 p64 599 N p59->p58->p57->p78->p85->p38->p63->p36->p66->p64
3858.0000 m159 512000 9 1163.0000 p35 p59 580 N p35->p62->p53->p33->v5139->v195->p48->p49->p47->p59
3864.0000 m154 512000 16 1254.0000 p71 p14 579 N p71->p69->p75->p76->p77->p83->p57->p56->p58->p61->p59->p47->p48->v2117->v3126->p23->p14
3865.0000 m195 512000 6 560.0000 p58 p14 590 N p58->p47->p48->v2117->v3126->p23->p14
3874.0000 m228 512000 5 12.0000 p46 p39 599 N p46->p58->p57->p78->p82->p39
3874.0000 m126 512000 14 1739.0000 p44 p5 571 N p44->p21->p18->p19->p11->p1->p27->p25->v5140->v197->p15->p17->p6->p51->p5
3881.0000 m229 512000 1 1.0000 p53 p62 599 N p53->p62
3899.0000 m230 512000 1 1.0000 p46 p61 599 N p46->p61
3909.0000 m225 512000 8 96.0000 p60 p62 598 N p60->p58->p57->p78->p77->p76->p85->p35->p62
3937.0000 m214 512000 6 308.0000 p23 p67 594 N p23->p17->p6->p12->p72->p22->p67
3980.0000 m234 512000 3 13.0000 p64 p6 599 N p64->p72->p12->p6
4017.0000 m213 512000 2 405.0000 p34 p22 593 N p34->p65->p22
4030.0000 m174 512000 6 1088.0000 p66 p28 581 N p66->p22->p72->p12->p6->p51->p28
4059.0000 m191 512000 9 823.0000 p48 p2 586 N p48->p47->v5138->v195->v5141->p19->p10->p11->p86->p2
4077.0000 m239 512000 4 27.0000 p30 p69 599 N p30->p33->p34->p62->p69
4135.0000 m180 512000 17 1091.0000 p34 p24 581 N p34->p62->p63->p85->p76->p77->p83->p57->v190->v5143->v2117->p23->p13->p19->p11->p86->p2->p24
4142.0000 m202 512000 14 720.0000 p47 p31 588 N p47->p60->p58->p57->p83->p77->p39->p63->p38->p70->v5145->v5146->p34->p33->p31
4152.0000 m196 512000 8 830.0000 p32 p22 586 N p32->p30->p31->v5146->v5145->p35->p36->p66->p22
4157.0000 m199 512000 7 782.0000 p62 p13 586 N p62->p66->p22->p72->p12->p6->p14->p13
4186.0000 m247 512000 1 4.0000 p38 p39 599 N p38->p39
4204.0000 m178 512000 6 1193.0000 p23 p65 580 N p23->p17->v1106->v5147->p72->p64->p65
4209.0000 m168 512000 10 1364.0000 p57 p25 577 N p57->p58->v5138->p20->p18->p10->p11->p13->p86->p2->p25
4228.0000 m244 512000 2 96.0000 p69 p34 598 N p69->p62->p34
4231.0000 m226 512000 5 402.0000 p51 p18 593 N p51->p8->p15->p13->p19->p18
4236.0000 m250 512000 2 5.0000 p53 p32 599 N p53->p33->p32
4267.0000 m251 512000 2 21.0000 p62 p33 599 N p62->p37->p33
4324.0000 m210 512000 9 765.0000 p24 p42 587 N p24->p27->p1->p11->v5141->v5143->p8->p51->p43->p42
4357.0000 m237 512000 9 341.0000 p28 p65 594 N p28->p51->p7->v5143->v1106->p16->p12->p73->p64->p65
4363.0000 m257 512000 2 8.0000 p36 p37 599 N p36->p65->p37
4405.0000 m260 512000 1 1.0000 p25 p24 599 N p25->p24
