# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
50.0000 m2 512000 8 14.0000 v4123 p8 599 N v4123->p85->p35->p66->p67->p64->p72->p52->p8
117.0000 null 512000 6 98.0000 v5136 v2105 598 N v5136->p83->p82->p76->p74->p79->v2105
190.0000 m5 512000 7 100.0000 v190 p55 598 N v190->v5137->p9->p31->p33->p37->p65->p55
280.0000 m16 512000 6 8.0000 v5134 p64 599 N v5134->p49->p47->p58->p55->p54->p64
293.0000 m17 512000 2 2.0000 v3109 p12 599 N v3109->p72->p12
375.0000 m22 512000 4 5.0000 v3115 p40 599 N v3115->p17->p14->p8->p40
414.0000 m8 512000 9 276.0000 v5135 p62 595 N v5135->p5->p28->p43->p87->p9->p31->p33->p37->p62
604.0000 m18 512000 10 296.0000 v5136 p15 595 N v5136->v5130->p63->p35->p62->p37->p33->p31->p9->v5137->p15
634.0000 m23 512000 5 246.0000 v5129 p54 595 N v5129->p74->p38->p35->p66->p54
753.0000 m9 512000 4 598.0000 v2103 p18 590 N v2103->v5137->v4124->p21->p18
764.0000 m15 512000 10 507.0000 v2107 p79 591 N v2107->p60->p58->p55->v5134->v4123->p83->p82->p76->p74->p79
905.0000 m19 512000 9 581.0000 v193 p49 590 N v193->p10->p19->p13->p23->v3116->v5137->p59->p47->p49
975.0000 m45 512000 3 215.0000 v2105 p75 596 N v2105->p0->p79->p75
1008.0000 m40 512000 4 336.0000 v5133 p30 594 N v5133->p87->p9->p31->p30
1116.0000 m43 512000 7 389.0000 v195 p83 593 N v195->v5134->p46->p59->p61->v5137->p57->p83
1353.0000 m11 512000 3 1165.0000 v4118 p17 580 N v4118->v5131->v5133->p17
1390.0000 m55 512000 4 454.0000 v3117 p64 592 N v3117->v3108->v5137->p66->p64
1409.0000 m49 512000 3 580.0000 v4119 p87 590 N v4119->p28->p43->p87
1672.0000 m90 512000 3 120.0000 v5137 p59 598 N v5137->v5134->v3117->p59
1699.0000 m32 512000 7 1164.0000 v197 p13 580 N v197->p5->p28->p43->p87->v5133->v298->p13
1769.0000 m103 512000 2 3.0000 v4124 p4 599 N v4124->p21->p4
1907.0000 m21 512000 4 1552.0000 v3109 p60 574 N v3109->v5130->p48->p47->p60
1956.0000 m105 512000 2 154.0000 v5134 p49 597 N v5134->p48->p49
2071.0000 m87 512000 3 572.0000 v5130 p63 590 N v5130->v5134->p66->p63
2111.0000 m58 512000 3 1125.0000 v3115 p11 581 N v3115->v190->v5133->p11
2117.0000 m112 512000 2 191.0000 v3109 p23 596 N v3109->p14->p23
2131.0000 m115 512000 2 156.0000 v5136 p62 597 N v5136->p38->p62
2269.0000 m93 512000 2 666.0000 v188 p14 588 N v188->p23->p14
2291.0000 m96 512000 3 635.0000 v2104 p62 589 N v2104->p70->p38->p62
2302.0000 m6 512000 6 2196.0000 v195 p32 563 N v195->p46->p59->v5137->p81->v5132->p32
2390.0000 m27 512000 14 1935.0000 v2101 p9 567 N v2101->p45->p4->p21->p18->p19->p13->p23->v3116->v5137->p59->p46->v5134->v5130->p9
2412.0000 m102 512000 3 662.0000 v5131 p53 588 N v5131->v5132->p33->p53
2448.0000 m142 512000 2 22.0000 v5128 p20 599 N v5128->p3->p20
2489.0000 m35 512000 6 1901.0000 v2106 p72 568 N v2106->v5135->v298->v2103->v5133->p52->p72
2526.0000 m127 512000 2 346.0000 v193 p2 594 N v193->p86->p2
2534.0000 m10 512000 7 2364.0000 v189 p64 560 N v189->v4118->v5131->v4127->v3110->v5132->p72->p64
2612.0000 m29 512000 8 2126.0000 v4123 p43 564 N v4123->p83->p82->p76->v5130->v3109->v3115->v5135->p43
2636.0000 m101 512000 4 901.0000 v5137 p55 584 N v5137->p81->v5132->p65->p55
2643.0000 m37 512000 4 2020.0000 v4127 p36 566 N v4127->v3110->v5132->p65->p36
2646.0000 m83 512000 6 1218.0000 v197 p36 579 N v197->v4121->p42->v5131->v5132->p65->p36
2692.0000 m106 512000 4 872.0000 v3111 p29 585 N v3111->v5131->p42->p87->p29
2706.0000 m92 512000 3 1120.0000 v5137 p42 581 N v5137->v4121->p43->p42
2710.0000 m31 512000 5 2190.0000 v5134 p28 563 N v5134->p60->p46->p59->v5137->p28
2731.0000 m60 512000 2 1708.0000 v3114 p7 571 N v3114->p52->p7
2763.0000 m132 512000 1 498.0000 v5134 p67 591 N v5134->p67
2890.0000 m150 512000 4 329.0000 v5137 p73 594 N v5137->v5135->v3114->p52->p73
2894.0000 m77 512000 4 1577.0000 v4124 p1 573 N v4124->v5128->v194->p86->p1
3042.0000 m39 512000 4 2385.0000 v5131 p46 560 N v5131->v3110->v5132->p58->p46
3043.0000 m50 512000 4 2196.0000 v3112 p61 563 N v3112->v4120->v5132->p58->p61
3050.0000 m139 512000 4 671.0000 v5134 p56 588 N v5134->v4125->v5136->p58->p56
3192.0000 m151 512000 3 614.0000 v3114 p66 589 N v3114->v5135->p67->p66
3199.0000 m100 512000 3 1479.0000 v194 p58 575 N v194->v5135->p68->p58
3212.0000 m134 512000 3 914.0000 v195 p61 584 N v195->v5136->p46->p61
3232.0000 m36 512000 4 2626.0000 v2106 p70 556 N v2106->v5135->v2102->v5129->p70
3234.0000 m12 512000 4 3028.0000 v5131 p70 549 N v5131->v5133->v5135->v5129->p70
3318.0000 m165 512000 3 507.0000 v194 p7 591 N v194->v5128->p51->p7
3383.0000 m122 512000 3 1290.0000 v2102 p74 578 N v2102->v5129->p69->p74
3386.0000 m7 512000 4 3264.0000 v5133 p39 545 N v5133->v5135->v5129->p69->p39
3407.0000 m176 512000 2 419.0000 v5134 p7 593 N v5134->p52->p7
3412.0000 m173 512000 4 470.0000 v5133 p8 592 N v5133->v5137->v5134->p52->p8
3417.0000 m25 512000 10 2994.0000 v193 p76 550 N v193->p10->p19->p13->p23->v3116->v5137->p81->v5132->p85->p76
3421.0000 m124 512000 7 1294.0000 v197 p36 578 N v197->v5130->v3115->v5135->v2102->v5129->p69->p36
3465.0000 m47 512000 5 2667.0000 v4118 p53 555 N v4118->v3111->v5129->v5133->v5137->p53
3477.0000 m184 512000 3 355.0000 v195 p50 594 N v195->v5136->p45->p50
3484.0000 m130 512000 4 1251.0000 v3109 p87 579 N v3109->v5130->v5128->p9->p87
3508.0000 m181 512000 2 438.0000 v3115 p31 592 N v3115->v5128->p31
3535.0000 m98 512000 9 1847.0000 v3113 p76 569 N v3113->p26->p27->p86->p11->v5135->v2102->v5129->p85->p76
3541.0000 m109 512000 6 1669.0000 v5137 p20 572 N v5137->v5129->p81->v5132->v2101->p44->p20
3543.0000 m20 512000 8 3203.0000 v5132 p83 546 N v5132->v3110->v196->v5131->p42->v4121->v5135->p57->p83
