# time  created  delivered  delivered/created
19.0000 1 0 0.0000
36.0000 2 0 0.0000
50.0000 2 1 0.5000
54.0000 3 1 0.3333
71.0000 4 1 0.2500
90.0000 5 1 0.2000
106.0000 6 1 0.1667
117.0000 6 2 0.3333
122.0000 7 2 0.2857
138.0000 8 2 0.2500
155.0000 9 2 0.2222
170.0000 10 2 0.2000
188.0000 11 2 0.1818
190.0000 11 3 0.2727
206.0000 12 3 0.2500
224.0000 13 3 0.2308
242.0000 14 3 0.2143
257.0000 15 3 0.2000
272.0000 16 3 0.1875
280.0000 16 4 0.2500
291.0000 17 4 0.2353
293.0000 17 5 0.2941
308.0000 18 5 0.2778
324.0000 19 5 0.2632
340.0000 20 5 0.2500
355.0000 21 5 0.2381
370.0000 22 5 0.2273
375.0000 22 6 0.2727
388.0000 23 6 0.2609
404.0000 24 6 0.2500
414.0000 24 7 0.2917
423.0000 25 7 0.2800
439.0000 26 7 0.2692
455.0000 27 7 0.2593
471.0000 28 7 0.2500
486.0000 29 7 0.2414
501.0000 30 7 0.2333
520.0000 31 7 0.2258
535.0000 32 7 0.2188
554.0000 33 7 0.2121
571.0000 34 7 0.2059
588.0000 35 7 0.2000
604.0000 35 8 0.2286
606.0000 36 8 0.2222
623.0000 37 8 0.2162
634.0000 37 9 0.2432
640.0000 38 9 0.2368
657.0000 39 9 0.2308
672.0000 40 9 0.2250
689.0000 41 9 0.2195
708.0000 42 9 0.2143
727.0000 43 9 0.2093
743.0000 44 9 0.2045
753.0000 44 10 0.2273
760.0000 45 10 0.2222
764.0000 45 11 0.2444
779.0000 46 11 0.2391
798.0000 47 11 0.2340
814.0000 48 11 0.2292
829.0000 49 11 0.2245
847.0000 50 11 0.2200
866.0000 51 11 0.2157
882.0000 52 11 0.2115
899.0000 53 11 0.2075
905.0000 53 12 0.2264
918.0000 54 12 0.2222
936.0000 55 12 0.2182
952.0000 56 12 0.2143
967.0000 57 12 0.2105
975.0000 57 13 0.2281
986.0000 58 13 0.2241
1005.0000 59 13 0.2203
1008.0000 59 14 0.2373
1023.0000 60 14 0.2333
1042.0000 61 14 0.2295
1057.0000 62 14 0.2258
1075.0000 63 14 0.2222
1092.0000 64 14 0.2188
1110.0000 65 14 0.2154
1116.0000 65 15 0.2308
1125.0000 66 15 0.2273
1144.0000 67 15 0.2239
1160.0000 68 15 0.2206
1179.0000 69 15 0.2174
1198.0000 70 15 0.2143
1216.0000 71 15 0.2113
1234.0000 72 15 0.2083
1250.0000 73 15 0.2055
1267.0000 74 15 0.2027
1283.0000 75 15 0.2000
1298.0000 76 15 0.1974
1317.0000 77 15 0.1948
1335.0000 78 15 0.1923
1353.0000 78 16 0.2051
1354.0000 79 16 0.2025
1373.0000 80 16 0.2000
1390.0000 80 17 0.2125
1392.0000 81 17 0.2099
1409.0000 81 18 0.2222
1411.0000 82 18 0.2195
1428.0000 83 18 0.2169
1447.0000 84 18 0.2143
1465.0000 85 18 0.2118
1480.0000 86 18 0.2093
1499.0000 87 18 0.2069
1518.0000 88 18 0.2045
1533.0000 89 18 0.2022
