# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
50.0000 m2 512000 8 14.0000 v4123 p8 599 N v4123->p85->p35->p66->p67->p64->p72->p52->p8
117.0000 null 512000 6 98.0000 v5136 v2105 598 N v5136->p83->p82->p76->p74->p79->v2105
190.0000 m5 512000 7 100.0000 v190 p55 598 N v190->v5137->p9->p31->p33->p37->p65->p55
280.0000 m16 512000 6 8.0000 v5134 p64 599 N v5134->p49->p47->p58->p55->p54->p64
293.0000 m17 512000 2 2.0000 v3109 p12 599 N v3109->p72->p12
375.0000 m22 512000 4 5.0000 v3115 p40 599 N v3115->p17->p14->p8->p40
381.0000 m15 512000 9 124.0000 v2107 p79 597 N v2107->p60->p58->p57->p56->p78->p85->p69->p74->p79
414.0000 m8 512000 9 276.0000 v5135 p62 595 N v5135->p5->p28->p43->p87->p9->p31->p33->p37->p62
421.0000 m18 512000 11 113.0000 v5136 p15 598 N v5136->v5130->p63->p35->p62->p37->p33->p31->p9->p12->p8->p15
432.0000 m6 512000 11 326.0000 v195 p32 594 N v195->p46->p58->p57->p83->p77->p39->p35->p62->p37->p33->p32
434.0000 m21 512000 14 79.0000 v3109 p60 598 N v3109->p72->p12->p9->p31->p33->p37->p62->p35->p85->p82->p78->p57->p58->p60
602.0000 m29 512000 12 116.0000 v4123 p43 598 N v4123->p57->p83->p82->p85->p35->p62->p37->p33->p31->p9->p87->p43
610.0000 m9 512000 7 455.0000 v2103 p18 592 N v2103->v5137->v3115->p17->p14->p13->p19->p18
634.0000 m23 512000 5 246.0000 v5129 p54 595 N v5129->p74->p38->p35->p66->p54
895.0000 m19 512000 9 571.0000 v193 p49 590 N v193->p10->p19->p13->p23->p15->v5137->p59->p47->p49
975.0000 m45 512000 3 215.0000 v2105 p75 596 N v2105->p0->p79->p75
992.0000 m31 512000 14 472.0000 v5134 p28 592 N v5134->v2107->p57->p83->p82->p85->p69->p62->p37->p33->p31->p9->p87->p43->p28
1049.0000 m40 512000 3 377.0000 v5133 p30 593 N v5133->p9->p31->p30
1058.0000 m7 512000 7 936.0000 v5133 p39 584 N v5133->p9->p31->p33->p37->p62->p38->p39
1068.0000 m12 512000 8 862.0000 v5131 p70 585 N v5131->v5133->p9->p31->p33->p37->p62->p38->p70
1115.0000 m43 512000 6 388.0000 v195 p83 593 N v195->v5134->p46->p61->v5137->p57->p83
1149.0000 m25 512000 10 726.0000 v193 p76 587 N v193->p10->p19->p13->p23->p15->v5137->p57->p83->p82->p76
1187.0000 m35 512000 7 599.0000 v2106 p72 590 N v2106->v5135->v298->v4122->p14->p8->p52->p72
1213.0000 m32 512000 9 678.0000 v197 p13 588 N v197->p5->p28->p43->p87->p9->p16->p8->p14->p13
1246.0000 m27 512000 11 791.0000 v2101 p9 586 N v2101->p45->p4->p21->p18->p19->p13->p23->p15->p8->p52->p9
1262.0000 m11 512000 5 1074.0000 v4118 p17 582 N v4118->v5131->v5133->v190->p8->p17
1386.0000 m55 512000 4 450.0000 v3117 p64 592 N v3117->v3108->v5137->p66->p64
1387.0000 m77 512000 6 70.0000 v4124 p1 598 N v4124->p3->p21->p18->p19->p11->p1
1409.0000 m49 512000 3 580.0000 v4119 p87 590 N v4119->p28->p43->p87
1463.0000 m58 512000 5 477.0000 v3115 p11 592 N v3115->v190->p8->p14->p13->p11
1517.0000 m87 512000 3 18.0000 v5130 p63 599 N v5130->p22->p66->p63
1545.0000 m60 512000 8 522.0000 v3114 p7 591 N v3114->p37->p33->p31->v5130->p22->p72->p52->p7
1597.0000 m90 512000 3 45.0000 v5137 p59 599 N v5137->p68->p58->p59
1608.0000 m93 512000 3 5.0000 v188 p14 599 N v188->p19->p13->p14
1671.0000 m10 512000 8 1501.0000 v189 p64 574 N v189->v4118->v5131->v5133->v190->p8->p52->p73->p64
1738.0000 m101 512000 2 3.0000 v5137 p55 599 N v5137->p54->p55
1742.0000 m78 512000 12 407.0000 v3114 p25 593 N v3114->p37->p62->v5130->p22->p72->p52->p8->p15->p13->p86->p27->p25
1768.0000 m103 512000 2 2.0000 v4124 p4 599 N v4124->p21->p4
1805.0000 m76 512000 10 507.0000 v3113 p61 591 N v3113->p26->p2->p86->p11->p19->p18->p21->v5128->p46->p61
1835.0000 m105 512000 4 33.0000 v5134 p49 599 N v5134->p58->p59->p47->p49
1843.0000 m44 512000 5 1100.0000 v3114 p41 581 N v3114->p37->p33->p30->v5131->p41
1930.0000 m112 512000 2 4.0000 v3109 p23 599 N v3109->p17->p23
1987.0000 m115 512000 6 12.0000 v5136 p62 599 N v5136->p80->p79->p74->p39->p63->p62
2107.0000 m91 512000 13 540.0000 v190 p58 591 N v190->v4122->p8->p14->p13->p19->p18->p21->v4124->v5130->p48->p49->p47->p58
2117.0000 m79 512000 12 763.0000 v5134 p26 587 N v5134->p47->p59->p46->v5128->p44->p21->p18->p10->p11->p86->p27->p26
2119.0000 m111 512000 4 212.0000 v4123 p34 596 N v4123->p57->p68->p65->p34
2123.0000 m74 512000 8 856.0000 v3114 p82 585 N v3114->p37->p62->v5130->v5134->p68->p57->p83->p82
2243.0000 m67 512000 8 1099.0000 v5128 p79 581 N v5128->p46->p58->p57->p83->p77->p76->p74->p79
2262.0000 m46 512000 13 1483.0000 v2100 p80 575 N v2100->v4122->p17->p23->v5128->p46->p58->p57->p83->p77->p76->p74->p79->p80
2275.0000 m36 512000 12 1669.0000 v2106 p70 572 N v2106->v5135->v5128->p46->p59->p58->p57->p83->p77->p76->p74->p38->p70
2291.0000 m96 512000 3 635.0000 v2104 p62 589 N v2104->p70->p38->p62
2326.0000 m102 512000 4 576.0000 v5131 p53 590 N v5131->v5132->p32->p33->p53
2346.0000 m92 512000 13 760.0000 v5137 p42 587 N v5137->p68->p58->p46->v5128->p44->p21->p18->p10->p11->p86->v5133->p43->p42
2418.0000 m37 512000 9 1795.0000 v4127 p36 570 N v4127->v3110->v196->v5131->v5129->p32->p33->p34->p65->p36
2421.0000 m83 512000 10 993.0000 v197 p36 583 N v197->p43->p87->p42->v5131->v5132->p32->p33->p34->p66->p36
2448.0000 m142 512000 2 22.0000 v5128 p20 599 N v5
