# time  created  delivered  delivered/created
19.0000 1 0 0.0000
36.0000 2 0 0.0000
50.0000 2 1 0.5000
54.0000 3 1 0.3333
71.0000 4 1 0.2500
90.0000 5 1 0.2000
106.0000 6 1 0.1667
117.0000 6 2 0.3333
122.0000 7 2 0.2857
138.0000 8 2 0.2500
155.0000 9 2 0.2222
170.0000 10 2 0.2000
188.0000 11 2 0.1818
190.0000 11 3 0.2727
206.0000 12 3 0.2500
224.0000 13 3 0.2308
242.0000 14 3 0.2143
257.0000 15 3 0.2000
272.0000 16 3 0.1875
280.0000 16 4 0.2500
291.0000 17 4 0.2353
293.0000 17 5 0.2941
308.0000 18 5 0.2778
324.0000 19 5 0.2632
340.0000 20 5 0.2500
355.0000 21 5 0.2381
370.0000 22 5 0.2273
375.0000 22 6 0.2727
381.0000 22 7 0.3182
388.0000 23 7 0.3043
404.0000 24 7 0.2917
414.0000 24 8 0.3333
421.0000 24 9 0.3750
423.0000 25 9 0.3600
432.0000 25 10 0.4000
434.0000 25 11 0.4400
439.0000 26 11 0.4231
455.0000 27 11 0.4074
471.0000 28 11 0.3929
486.0000 29 11 0.3793
501.0000 30 11 0.3667
520.0000 31 11 0.3548
535.0000 32 11 0.3438
554.0000 33 11 0.3333
571.0000 34 11 0.3235
588.0000 35 11 0.3143
602.0000 35 12 0.3429
606.0000 36 12 0.3333
610.0000 36 13 0.3611
623.0000 37 13 0.3514
634.0000 37 14 0.3784
640.0000 38 14 0.3684
657.0000 39 14 0.3590
672.0000 40 14 0.3500
689.0000 41 14 0.3415
708.0000 42 14 0.3333
727.0000 43 14 0.3256
743.0000 44 14 0.3182
760.0000 45 14 0.3111
779.0000 46 14 0.3043
798.0000 47 14 0.2979
814.0000 48 14 0.2917
829.0000 49 14 0.2857
847.0000 50 14 0.2800
866.0000 51 14 0.2745
882.0000 52 14 0.2692
895.0000 52 15 0.2885
899.0000 53 15 0.2830
918.0000 54 15 0.2778
936.0000 55 15 0.2727
952.0000 56 15 0.2679
967.0000 57 15 0.2632
975.0000 57 16 0.2807
986.0000 58 16 0.2759
992.0000 58 17 0.2931
1005.0000 59 17 0.2881
1023.0000 60 17 0.2833
1042.0000 61 17 0.2787
1049.0000 61 18 0.2951
1057.0000 62 18 0.2903
1058.0000 62 19 0.3065
1068.0000 62 20 0.3226
1075.0000 63 20 0.3175
1092.0000 64 20 0.3125
1110.0000 65 20 0.3077
1115.0000 65 21 0.3231
1125.0000 66 21 0.3182
1144.0000 67 21 0.3134
1149.0000 67 22 0.3284
1160.0000 68 22 0.3235
1179.0000 69 22 0.3188
1187.0000 69 23 0.3333
1198.0000 70 23 0.3286
1213.0000 70 24 0.3429
1216.0000 71 24 0.3380
1234.0000 72 24 0.3333
1246.0000 72 25 0.3472
1250.0000 73 25 0.3425
1262.0000 73 26 0.3562
1267.0000 74 26 0.3514
1283.0000 75 26 0.3467
1298.0000 76 26 0.3421
1317.0000 77 26 0.3377
1335.0000 78 26 0.3333
1354.0000 79 26 0.3291
1373.0000 80 26 0.3250
1386.0000 80 27 0.3375
1387.0000 80 28 0.3500
