# time  created  delivered  delivered/created
19.0000 1 0 0.0000
34.0000 2 0 0.0000
41.0000 2 1 0.5000
45.0000 2 2 1.0000
51.0000 3 2 0.6667
70.0000 4 2 0.5000
74.0000 4 3 0.7500
83.0000 4 4 1.0000
87.0000 5 4 0.8000
101.0000 5 5 1.0000
103.0000 6 5 0.8333
111.0000 6 6 1.0000
120.0000 7 6 0.8571
136.0000 8 6 0.7500
147.0000 8 7 0.8750
155.0000 9 7 0.7778
173.0000 10 7 0.7000
192.0000 11 7 0.6364
208.0000 12 7 0.5833
209.0000 12 8 0.6667
227.0000 13 8 0.6154
237.0000 13 9 0.6923
245.0000 14 9 0.6429
252.0000 14 10 0.7143
261.0000 15 10 0.6667
266.0000 15 11 0.7333
276.0000 16 11 0.6875
289.0000 16 12 0.7500
293.0000 17 12 0.7059
294.0000 17 13 0.7647
309.0000 18 13 0.7222
328.0000 19 13 0.6842
329.0000 19 14 0.7368
346.0000 20 14 0.7000
365.0000 21 14 0.6667
380.0000 22 14 0.6364
395.0000 23 14 0.6087
410.0000 24 14 0.5833
413.0000 24 15 0.6250
429.0000 25 15 0.6000
445.0000 26 15 0.5769
455.0000 26 16 0.6154
461.0000 27 16 0.5926
478.0000 27 17 0.6296
480.0000 28 17 0.6071
497.0000 29 17 0.5862
504.0000 29 18 0.6207
515.0000 30 18 0.6000
534.0000 31 18 0.5806
553.0000 32 18 0.5625
570.0000 33 18 0.5455
588.0000 34 18 0.5294
593.0000 34 19 0.5588
601.0000 34 20 0.5882
602.0000 34 21 0.6176
607.0000 35 21 0.6000
622.0000 36 21 0.5833
635.0000 36 22 0.6111
638.0000 37 22 0.5946
642.0000 37 23 0.6216
643.0000 37 24 0.6486
656.0000 38 24 0.6316
671.0000 39 24 0.6154
688.0000 40 24 0.6000
695.0000 40 25 0.6250
707.0000 41 25 0.6098
709.0000 41 26 0.6341
726.0000 42 26 0.6190
741.0000 43 26 0.6047
760.0000 44 26 0.5909
779.0000 45 26 0.5778
787.0000 45 27 0.6000
798.0000 46 27 0.5870
813.0000 47 27 0.5745
828.0000 48 27 0.5625
846.0000 49 27 0.5510
861.0000 50 27 0.5400
868.0000 50 28 0.5600
876.0000 51 28 0.5490
885.0000 51 29 0.5686
895.0000 52 29 0.5577
914.0000 53 29 0.5472
933.0000 54 29 0.5370
945.0000 54 30 0.5556
952.0000 55 30 0.5455
957.0000 55 31 0.5636
969.0000 56 31 0.5536
972.0000 56 32 0.5714
986.0000 57 32 0.5614
987.0000 57 33 0.5789
989.0000 57 34 0.5965
1004.0000 58 34 0.5862
1022.0000 59 34 0.5763
1038.0000 60 34 0.5667
1057.0000 61 34 0.5574
1076.0000 62 34 0.5484
1095.0000 63 34 0.5397
1111.0000 64 34 0.5313
1126.0000 65 34 0.5231
1143.0000 66 34 0.5152
1144.0000 66 35 0.5303
1160.0000 67 35 0.5224
1177.0000 67 36 0.5373
1179.0000 68 36 0.5294
1186.0000 68 37 0.5441
1196.0000 69 37 0.5362
1197.0000 69 38 0.5507
1206.0000 69 39 0.5652
1214.0000 70 39 0.5571
1222.0000 70 40 0.5714
1232.0000 71 40 0.5634
1233.0000 71 41 0.5775
1237.0000 71 42 0.5915
1251.0000 72 42 0.5833
1270.0000 73 42 0.5753
1287.0000 74 42 0.5676
1293.0000 74 43 0.5811
1305.0000 75 43 0.5733
1321.0000 76 43 0.5658
1336.0000 77 43 0.5584
1337.0000 77 44 0.5714
1338.0000 77 45 0.5844
1352.0000 78 45 0.5769
1352.0000 78 46 0.5897
1368.0000 79 46 0.5823
1386.0000 80 46 0.5750
1401.0000 81 46 0.5679
1420.0000 82 46 0.5610
1438.0000 83 46 0.5542
1453.0000 84 46 0.5476
1468.0000 85 46 0.5412
1484.0000 86 46 0.5349
1485.0000 86 47 0.5465
1502.0000 87 47 0.5402
1517.0000 88 47 0.5341
1536.0000 89 47 0.5281
1551.0000 89 48 0.5393
1552.0000 90 48 0.5333
1570.0000 91 48 0.5275
1574.0000 91 49 0.5385
1586.0000 92 49 0.5326
1587.0000 92 50 0.5435
1601.0000 93 50 0.5376
1611.0000 93 51 0.5484
1617.0000 94 51 0.5426
1634.0000 95 51 0.5368
1648.0000 95 52 0.5474
1649.0000 96 52 0.5417
1659.0000 96 53 0.5521
1668.0000 97 53 0.5464
1684.0000 98 53 0.5408
1703.0000 99 53 0.5354
1718.0000 100 53 0.5300
1724.0000 100 54 0.5400
1735.0000 101 54 0.5347
1737.0000 101 55 0.5446
1742.0000 101 56 0.5545
1742.0000 101 57 0.5644
1750.0000 102 57 0.5588
1755.0000 102 58 0.5686
1760.0000 102 59 0.5784
1765.0000 103 59 0.5728
1783.0000 104 59 0.5673
1802.0000 105 59 0.5619
1805.0000 105 60 0.5714
1818.0000 106 60 0.5660
1833.0000 107 60 0.5607
1848.0000 108 60 0.5556
1857.0000 108 61 0.5648
1863.0000 109 61 0.5596
1881.0000 110 61 0.5545
1900.0000 111 61 0.5495
1918.0000 112 61 0.5446
1923.0000 112 62 0.5536
1937.0000 113 62 0.5487
1954.0000 114 62 0.5439
1970.0000 115 62 0.5391
1989.0000 116 62 0.5345
2008.0000 117 62 0.5299
2024.0000 118 62 0.5254
2043.0000 119 62 0.5210
2046.0000 119 63 0.5294
2061.0000 120 63 0.5250
2076.0000 121 63 0.5207
2077.0000 121 64 0.5289
2095.0000 122 64 0.5246
2102.0000 122 65 0.5328
2112.0000 123 65 0.5285
2131.0000 124 65 0.5242
2134.0000 124 66 0.5323
2148.0000 125 66 0.5280
2163.0000 126 66 0.5238
2179.0000 127 66 0.5197
2195.0000 128 66 0.5156
2213.0000 129 66 0.5116
2226.0000 129 67 0.5194
2229.0000 129 68 0.5271
2232.0000 130 68 0.5231
2238.0000 130 69 0.5308
2242.0000 130 70 0.5385
2248.0000 131 70 0.5344
2264.0000 132 70 0.5303
2283.0000 133 70 0.5263
2302.0000 134 70 0.5224
2321.0000 135 70 0.5185
2336.0000 136 70 0.5147
2352.0000 137 70 0.5109
2367.0000 138 70 0.5072
2385.0000 139 70 0.5036
2404.0000 140 70 0.5000
2421.0000 140 71 0.5071
2423.0000 141 71 0.5035
2438.0000 142 71 0.5000
2456.0000 143 71 0.4965
2472.0000 144 71 0.4931
2489.0000 145 71 0.4897
2507.0000 146 71 0.4863
2508.0000 146 72 0.4932
2523.0000 147 72 0.4898
2538.0000 148 72 0.4865
2557.0000 149 72 0.4832
2558.0000 149 73 0.4899
2575.0000 150 73 0.4867
2591.0000 151 73 0.4834
2594.0000 151 74 0.4901
2604.0000 151 75 0.4967
2606.0000 152 75 0.4934
2623.0000 153 75 0.4902
2625.0000 153 76 0.4967
2626.0000 153 77 0.5033
2639.0000 153 78 0.5098
2640.0000 154 78 0.5065
2655.0000 155 78 0.5032
2666.0000 155 79 0.5097
2667.0000 155 80 0.5161
2670.0000 155 81 0.5226
2671.0000 156 81 0.5192
2673.0000 156 82 0.5256
2682.0000 156 83 0.5321
2689.0000 157 83 0.5287
2700.0000 157 84 0.5350
2701.0000 157 85 0.5414
2706.0000 158 85 0.5380
2707.0000 158 86 0.5443
2713.0000 158 87 0.5506
2723.0000 158 88 0.5570
2725.0000 159 88 0.5535
2732.0000 159 89 0.5597
2741.0000 160 89 0.5563
2744.0000 160 90 0.5625
2757.0000 161 90 0.5590
2772.0000 162 90 0.5556
2787.0000 163 90 0.5521
2802.0000 164 90 0.5488
2811.0000 164 91 0.5549
2817.0000 165 91 0.5515
2823.0000 165 92 0.5576
2835.0000 166 92 0.5542
2845.0000 166 93 0.5602
2852.0000 166 94 0.5663
2853.0000 167 94 0.5629
2862.0000 167 95 0.5689
2868.0000 168 95 0.5655
2879.0000 168 96 0.5714
2886.0000 169 96 0.5680
2902.0000 170 96 0.5647
2905.0000 170 97 0.5706
2915.0000 170 98 0.5765
2915.0000 170 99 0.5824
2916.0000 170 100 0.5882
2917.0000 171 100 0.5848
2933.0000 172 100 0.5814
2936.0000 172 101 0.5872
2939.0000 172 102 0.5930
2943.0000 172 103 0.5988
2952.0000 173 103 0.5954
2968.0000 174 103 0.5920
2984.0000 175 103 0.5886
3000.0000 176 103 0.5852
3015.0000 177 103 0.5819
3031.0000 178 103 0.5787
3050.0000 179 103 0.5754
3065.0000 180 103 0.5722
3080.0000 181 103 0.5691
3097.0000 182 103 0.5659
3116.0000 183 103 0.5628
3119.0000 183 104 0.5683
3126.0000 183 105 0.5738
3135.0000 184 105 0.5707
3153.0000 185 105 0.5676
3170.0000 186 105 0.5645
3185.0000 187 105 0.5615
3202.0000 188 105 0.5585
