# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
36.0000 m1 722077 12 17.0000 p70 p2 599 N p70->p69->p62->p65->p67->p22->p73->p12->p6->p17->p13->p86->p2
45.0000 m2 592655 7 11.0000 p42 p35 599 N p42->p87->p9->p52->p72->p64->p65->p35
69.0000 m3 564525 11 18.0000 p24 p62 599 N p24->p2->p86->p13->p14->p6->p12->p9->p31->p33->p34->p62
99.0000 m5 417995 8 12.0000 p43 p56 599 N p43->p51->p8->p52->p73->p22->p67->p68->p56
110.0000 m6 275437 4 7.0000 p58 p36 599 N p58->p57->p78->p85->p36
146.0000 m8 359380 5 10.0000 p64 p30 599 N p64->p72->p52->p9->p31->p30
203.0000 m11 278419 6 11.0000 p40 p53 599 N p40->p8->p52->p72->p64->p65->p53
209.0000 m12 612426 1 1.0000 p32 p30 599 N p32->p30
229.0000 m13 374287 2 2.0000 p43 p40 599 N p43->p51->p40
247.0000 m7 476550 3 127.0000 p37 p68 597 N p37->p34->p66->p68
290.0000 m16 352865 7 14.0000 p43 p35 599 N p43->p87->p9->p52->p72->p64->p65->p35
294.0000 m17 499391 1 1.0000 p24 p25 599 N p24->p25
329.0000 m19 355561 1 1.0000 p27 p26 599 N p27->p26
339.0000 m9 538290 8 184.0000 p60 p51 596 N p60->p61->p59->p47->p49->v5154->p17->p8->p51
357.0000 m20 276013 7 11.0000 p31 p56 599 N p31->p9->p52->p72->p22->p67->p55->p56
414.0000 m24 710513 2 4.0000 p42 p9 599 N p42->p87->p9
458.0000 m26 541818 7 13.0000 p23 p50 599 N p23->p17->p13->p19->p18->p21->p4->p50
556.0000 m14 486055 2 311.0000 p53 p68 594 N p53->p65->p68
597.0000 m34 700409 5 9.0000 p29 p65 599 N p29->p9->p52->p72->p22->p65
648.0000 m30 377645 2 133.0000 p55 p47 597 N p55->p58->p47
684.0000 m4 287161 8 614.0000 p24 p5 589 N p24->p2->p1->p11->p13->p17->p8->p40->p5
699.0000 m40 559115 3 11.0000 p34 p36 599 N p34->p37->p65->p36
703.0000 m29 537497 4 206.0000 p23 p9 596 N p23->p14->p7->p52->p9
745.0000 m43 495512 2 4.0000 p37 p36 599 N p37->p62->p36
761.0000 m41 398523 1 54.0000 p66 p64 599 N p66->p64
1044.0000 m57 307725 1 58.0000 p54 p66 599 N p54->p66
1098.0000 m63 573483 1 3.0000 p63 p39 599 N p63->p39
1182.0000 m68 476095 2 3.0000 p71 p39 599 N p71->p69->p39
1197.0000 m69 665499 1 1.0000 p46 p58 599 N p46->p58
1233.0000 m71 620779 1 1.0000 p47 p49 599 N p47->p49
1242.0000 m55 282087 2 290.0000 p68 p62 595 N p68->p65->p62
1243.0000 m44 260289 8 483.0000 p49 p62 591 N p49->p47->p59->p61->v199->v5156->p68->p66->p62
1259.0000 m48 402524 8 431.0000 p46 p7 592 N p46->p61->v5156->p55->p54->p22->p73->p16->p7
1266.0000 m56 362016 9 297.0000 p48 p39 595 N p48->p47->p59->v199->v5156->p55->p57->p83->p77->p39
1277.0000 m59 420574 10 255.0000 p48 p7 595 N p48->p47->p59->v199->v5156->p68->p54->p64->p72->p52->p7
1319.0000 m64 644571 6 208.0000 p45 p17 596 N p45->p4->p21->p18->p19->p13->p17
1337.0000 m77 409756 1 1.0000 p65 p68 599 N p65->p68
1379.0000 m42 399227 6 653.0000 p23 p47 589 N p23->p17->p13->p19->v5154->p48->p47
1409.0000 m47 583528 11 596.0000 p28 p57 590 N p28->p5->p40->p8->p17->p13->p19->v5154->p48->p47->p58->p57
1439.0000 m36 733332 5 817.0000 p47 p20 586 N p47->p59->p61->v199->v5151->p20
1446.0000 m10 684873 5 1273.0000 p55 p44 578 N p55->p57->v5156->v5151->p20->p44
