# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
40.0000 m1 722077 11 21.0000 p70 p2 599 N p70->p38->p36->p65->p64->p72->p16->p7->p17->p13->p86->p2
46.0000 m2 592655 7 12.0000 p42 p35 599 N p42->p87->p9->p31->p33->p37->p62->p35
99.0000 m5 417995 9 12.0000 p43 p56 599 N p43->p51->p40->p8->p12->p73->p64->p67->p68->p56
111.0000 m6 275437 5 8.0000 p58 p36 599 N p58->p56->p83->p77->p39->p36
125.0000 m4 287161 7 55.0000 p24 p5 599 N p24->p27->p86->p13->p17->p6->p51->p5
131.0000 m7 476550 3 11.0000 p37 p68 599 N p37->p34->p66->p68
133.0000 m3 564525 10 82.0000 p24 p62 598 N p24->p27->p86->p13->p17->p6->p12->p73->p22->p65->p62
146.0000 m8 359380 5 10.0000 p64 p30 599 N p64->p73->p12->p9->p31->p30
209.0000 m12 612426 1 1.0000 p32 p30 599 N p32->p30
237.0000 m13 374287 6 10.0000 p43 p40 599 N p43->p42->p87->p9->p12->p6->p40
288.0000 m16 352865 8 12.0000 p43 p35 599 N p43->p42->p87->p9->p12->p72->p22->p66->p35
294.0000 m17 499391 1 1.0000 p24 p25 599 N p24->p25
329.0000 m19 355561 1 1.0000 p27 p26 599 N p27->p26
362.0000 m9 538290 6 207.0000 p60 p51 596 N p60->p47->p48->v5175->p17->p6->p51
413.0000 m24 710513 2 3.0000 p42 p9 599 N p42->p87->p9
458.0000 m26 541818 7 13.0000 p23 p50 599 N p23->p15->p13->p19->p18->p21->p44->p50
506.0000 m29 537497 4 9.0000 p23 p9 599 N p23->p14->p6->p12->p9
596.0000 m34 700409 5 8.0000 p29 p65 599 N p29->p9->p12->p73->p64->p65
642.0000 m18 492492 16 333.0000 p33 p47 594 N p33->p31->p9->p12->p6->p17->p13->p11->p10->p18->p20->p3->p45->v199->v5173->p59->p47
651.0000 m20 276013 16 305.0000 p31 p56 594 N p31->p9->p12->p6->p17->p13->p11->p10->p18->p20->p3->p45->v5173->p59->p46->p58->p56
712.0000 m41 398523 1 5.0000 p66 p64 599 N p66->p64
803.0000 m46 530315 5 5.0000 p31 p13 599 N p31->p9->p12->p6->p17->p13
852.0000 m22 405835 9 472.0000 p57 p33 592 N p57->p56->v5168->p54->p64->p72->p52->p9->p31->p33
855.0000 m37 419415 11 217.0000 p57 p11 596 N p57->p83->p56->v5168->p54->p64->p73->p12->p6->p17->p13->p11
911.0000 m44 260289 11 151.0000 p49 p62 597 N p49->p47->v5173->p23->p17->p6->p12->p9->p31->p33->p37->p62
953.0000 m50 548774 9 92.0000 p33 p25 598 N p33->p31->p9->p12->p6->p17->p13->p86->p27->p25
963.0000 m36 733332 9 341.0000 p47 p20 594 N p47->p59->v5173->p23->p17->p13->p11->p10->p18->p20
968.0000 m38 545969 11 312.0000 p46 p45 594 N p46->p61->p59->v5173->p23->p13->p11->p10->p18->p20->p3->p45
1036.0000 m53 291958 9 122.0000 p25 p54 597 N p25->p27->p86->p13->p17->p6->p12->p73->p64->p54
1104.0000 m11 278419 6 912.0000 p40 p53 584 N p40->p6->p12->p9->p31->p33->p53
1181.0000 m57 307725 1 195.0000 p54 p66 596 N p54->p66
