# time  created  delivered  delivered/created
19.0000 1 0 0.0000
34.0000 2 0 0.0000
40.0000 2 1 0.5000
46.0000 2 2 1.0000
51.0000 3 2 0.6667
70.0000 4 2 0.5000
87.0000 5 2 0.4000
99.0000 5 3 0.6000
103.0000 6 3 0.5000
111.0000 6 4 0.6667
120.0000 7 4 0.5714
125.0000 7 5 0.7143
131.0000 7 6 0.8571
133.0000 7 7 1.0000
136.0000 8 7 0.8750
146.0000 8 8 1.0000
155.0000 9 8 0.8889
173.0000 10 8 0.8000
192.0000 11 8 0.7273
208.0000 12 8 0.6667
209.0000 12 9 0.7500
227.0000 13 9 0.6923
237.0000 13 10 0.7692
245.0000 14 10 0.7143
261.0000 15 10 0.6667
276.0000 16 10 0.6250
288.0000 16 11 0.6875
293.0000 17 11 0.6471
294.0000 17 12 0.7059
309.0000 18 12 0.6667
328.0000 19 12 0.6316
329.0000 19 13 0.6842
346.0000 20 13 0.6500
362.0000 20 14 0.7000
365.0000 21 14 0.6667
380.0000 22 14 0.6364
395.0000 23 14 0.6087
410.0000 24 14 0.5833
413.0000 24 15 0.6250
429.0000 25 15 0.6000
445.0000 26 15 0.5769
458.0000 26 16 0.6154
461.0000 27 16 0.5926
480.0000 28 16 0.5714
497.0000 29 16 0.5517
506.0000 29 17 0.5862
515.0000 30 17 0.5667
534.0000 31 17 0.5484
553.0000 32 17 0.5313
570.0000 33 17 0.5152
588.0000 34 17 0.5000
596.0000 34 18 0.5294
607.0000 35 18 0.5143
622.0000 36 18 0.5000
638.0000 37 18 0.4865
642.0000 37 19 0.5135
651.0000 37 20 0.5405
656.0000 38 20 0.5263
671.0000 39 20 0.5128
688.0000 40 20 0.5000
707.0000 41 20 0.4878
712.0000 41 21 0.5122
726.0000 42 21 0.5000
741.0000 43 21 0.4884
760.0000 44 21 0.4773
779.0000 45 21 0.4667
798.0000 46 21 0.4565
803.0000 46 22 0.4783
813.0000 47 22 0.4681
828.0000 48 22 0.4583
846.0000 49 22 0.4490
852.0000 49 23 0.4694
855.0000 49 24 0.4898
861.0000 50 24 0.4800
876.0000 51 24 0.4706
895.0000 52 24 0.4615
911.0000 52 25 0.4808
914.0000 53 25 0.4717
933.0000 54 25 0.4630
952.0000 55 25 0.4545
953.0000 55 26 0.4727
963.0000 55 27 0.4909
968.0000 55 28 0.5091
969.0000 56 28 0.5000
986.0000 57 28 0.4912
1004.0000 58 28 0.4828
1022.0000 59 28 0.4746
1036.0000 59 29 0.4915
1038.0000 60 29 0.4833
1057.0000 61 29 0.4754
1076.0000 62 29 0.4677
1095.0000 63 29 0.4603
1104.0000 63 30 0.4762
1111.0000 64 30 0.4688
1126.0000 65 30 0.4615
1143.0000 66 30 0.4545
1160.0000 67 30 0.4478
1179.0000 68 30 0.4412
1181.0000 68 31 0.4559
1182.0000 68 32 0.4706
1189.0000 68 33 0.4853
1196.0000 69 33 0.4783
1197.0000 69 34 0.4928
1214.0000 70 34 0.4857
1228.0000 70 35 0.5000
1232.0000 71 35 0.4930
1233.0000 71 36 0.5070
1251.0000 72 36 0.5000
1270.0000 73 36 0.4932
1287.0000 74 36 0.4865
1305.0000 75 36 0.4800
1321.0000 76 36 0.4737
1336.0000 77 36 0.4675
1349.0000 77 37 0.4805
1352.0000 78 37 0.4744
1368.0000 79 37 0.4684
1368.0000 79 38 0.4810
1386.0000 80 38 0.4750
1401.0000 81 38 0.4691
1420.0000 82 38 0.4634
1438.0000 83 38 0.4578
1453.0000 84 38 0.4524
1467.0000 84 39 0.4643
1468.0000 85 39 0.4588
1484.0000 86 39 0.4535
1502.0000 87 39 0.4483
1517.0000 88 39 0.4432
1536.0000 89 39 0.4382
1552.0000 90 39 0.4333
1568.0000 90 40 0.4444
1570.0000 91 40 0.4396
1571.0000 91 41 0.4505
1586.0000 92 41 0.4457
1587.0000 92 42 0.4565
1591.0000 92 43 0.4674
1600.0000 92 44 0.4783
1601.0000 93 44 0.4731
1601.0000 93 45 0.4839
1617.0000 94 45 0.4787
1634.0000 95 45 0.4737
1637.0000 95 46 0.4842
1649.0000 96 46 0.4792
1668.0000 97 46 0.4742
1684.0000 98 46 0.4694
1703.0000 99 46 0.4646
1703.0000 99 47 0.4747
1708.0000 99 48 0.4848
1709.0000 99 49 0.4949
1716.0000 99 50 0.5051
1718.0000 100 50 0.5000
1735.0000 101 50 0.4950
1750.0000 102 50 0.4902
1765.0000 103 50 0.4854
1772.0000 103 51 0.4951
1783.0000 104 51 0.4904
1802.0000 105 51 0.4857
1802.0000 105 52 0.4952
1813.0000 105 53 0.5048
1815.0000 105 54 0.5143
1818.0000 106 54 0.5094
1833.0000 107 54 0.5047
1848.0000 108 54 0.5000
1863.0000 109 54 0.4954
1872.0000 109 55 0.5046
1881.0000 110 55 0.5000
1900.0000 111 55 0.4955
1905.0000 111 56 0.5045
1918.0000 112 56 0.5000
1937.0000 113 56 0.4956
1943.0000 113 57 0.5044
1943.0000 113 58 0.5133
1947.0000 113 59 0.5221
1954.0000 114 59 0.5175
1966.0000 114 60 0.5263
1970.0000 115 60 0.5217
1988.0000 115 61 0.5304
1989.0000 116 61 0.5259
2008.0000 117 61 0.5214
2024.0000 118 61 0.5169
2043.0000 119 61 0.5126
2051.0000 119 62 0.5210
2060.0000 119 63 0.5294
2061.0000 120 63 0.5250
2068.0000 120 64 0.5333
2076.0000 121 64 0.5289
2077.0000 121 65 0.5372
2095.0000 122 65 0.5328
2100.0000 122 66 0.5410
2112.0000 123 66 0.5366
2131.0000 124 66 0.5323
2148.0000 125 66 0.5280
2163.0000 126 66 0.5238
2179.0000 127 66 0.5197
2185.0000 127 67 0.5276
2195.0000 128 67 0.5234
2213.0000 129 67 0.5194
2217.0000 129 68 0.5271
2230.0000 129 69 0.5349
2230.0000 129 70 0.5426
2232.0000 130 70 0.5385
2236.0000 130 71 0.5462
2241.0000 130 72 0.5538
2245.0000 130 73 0.5615
2248.0000 131 73 0.5573
2264.0000 132 73 0.5530
2279.0000 132 74 0.5606
2283.0000 133 74 0.5564
2288.0000 133 75 0.5639
2290.0000 133 76 0.5714
2300.0000 133 77 0.5789
2302.0000 134 77 0.5746
2321.0000 135 77 0.5704
2336.0000 136 77 0.5662
2352.0000 137 77 0.5620
2367.0000 138 77 0.5580
2385.0000 139 77 0.5540
2386.0000 139 78 0.5612
2397.0000 139 79 0.5683
2404.0000 140 79 0.5643
2420.0000 140 80 0.5714
2423.0000 141 80 0.5674
2432.0000 141 81 0.5745
2438.0000 142 81 0.5704
2454.0000 142 82 0.5775
2456.0000 143 82 0.5734
2472.0000 144 82 0.5694
2477.0000 144 83 0.5764
2478.0000 144 84 0.5833
2487.0000 144 85 0.5903
2489.0000 145 85 0.5862
2495.0000 145 86 0.5931
2501.0000 145 87 0.6000
2507.0000 146 87 0.5959
2515.0000 146 88 0.6027
2523.0000 147 88 0.5986
2535.0000 147 89 0.6054
2538.0000 148 89 0.6014
2543.0000 148 90 0.6081
2544.0000 148 91 0.6149
2545.0000 148 92 0.6216
2557.0000 149 92 0.6174
2566.0000 149 93 0.6242
2566.0000 149 94 0.6309
2575.0000 150 94 0.6267
2591.0000 151 94 0.6225
2606.0000 152 94 0.6184
2623.0000 153 94 0.6144
2634.0000 153 95 0.6209
2638.0000 153 96 0.6275
2640.0000 154 96 0.6234
2645.0000 154 97 0.6299
2647.0000 154 98 0.6364
2649.0000 154 99 0.6429
2655.0000 155 99 0.6387
2659.0000 155 100 0.6452
2661.0000 155 101 0.6516
2662.0000 155 102 0.6581
2665.0000 155 103 0.6645
2671.0000 156 103 0.6603
2689.0000 157 103 0.6561
2706.0000 158 103 0.6519
2725.0000 159 103 0.6478
2726.0000 159 104 0.6541
2733.0000 159 105 0.6604
2741.0000 160 105 0.6563
2757.0000 161 105 0.6522
2772.0000 162 105 0.6481
2787.0000 163 105 0.6442
2802.0000 164 105 0.6402
2802.0000 164 106 0.6463
2810.0000 164 107 0.6524
2817.0000 165 107 0.6485
2835.0000 166 107 0.6446
2839.0000 166 108 0.6506
2853.0000 167 108 0.6467
2868.0000 168 108 0.6429
2882.0000 168 109 0.6488
2886.0000 169 109 0.6450
2898.0000 169 110 0.6509
2902.0000 170 110 0.6471
2911.0000 170 111 0.6529
2917.0000 171 111 0.6491
2918.0000 171 112 0.6550
2930.0000 171 113 0.6608
2933.0000 172 113 0.6570
2934.0000 172 114 0.6628
2952.0000 173 114 0.6590
2968.0000 174 114 0.6552
2973.0000 174 115 0.6609
2984.0000 175 115 0.6571
2999.0000 175 116 0.6629
3000.0000 176 116 0.6591
3004.0000 176 117 0.6648
